is_kolu,isim,osm_id
restoran,Dünya döner,5243950187
restoran,Komagene,5243950196
restoran,Ege Pilav,5243950197
restoran,Diver,5243950211
restoran,Akdeniz Büfe,5243950212
restoran,Affouri,5243950219
restoran,Gala kokoreç,5243950730
restoran,Gülbenoğlu,5243950731
restoran,Vatan Pilavcısı,5243950740
restoran,Saitoğulları,5243950741
restoran,Kuzey Büfe,5243950743
restoran,Soylu büfe,5243950748
restoran,Renk büfe,5243950767
restoran,hacielaziz chikoftaci,5243950782
restoran,Falafel alshalal,5243950785
restoran,Musilli,5243950787
restoran,Keifine gore felafel,5243950789
restoran,Saruja Restaurant,5243950791
restoran,Debs ve Remman,5243950793
restoran,Meshur sariyer,5243950794
restoran,Hirka-i sherif,5243950801
restoran,Antep sofrasi,5243950803
restoran,Alamin,5243950807
restoran,Nam-i lezzet,5243950819
restoran,RTmevsim Doner,5243950965
restoran,Konya Etli Pide,5243951365
restoran,Nishantashi bufe,5243951369
restoran,Shif,5243951401
restoran,Ozgelis kabab salonu,5243951405
restoran,Fatih durum,5243951409
restoran,Buhara,5243951419
restoran,Patii dunyasi,5243951430
restoran,Balik evi,5243951435
restoran,Layali assalihya,5243951508
restoran,Harun Büfe,5243951522
restoran,Ali baba,5243951532
restoran,Oses,5243951541
restoran,Şerifoglu,5243951544
restoran,Bezirgan,5243951545
restoran,Pesto restorant,5243951547
restoran,Hayat lokantasi,5243951555
restoran,adiyaman çikoftecisi,5243951557
restoran,Tekirdağ Köftecisi,5243951971
restoran,Hacilaziz,5243952628
restoran,Çagdash lokanta,5243952635
restoran,Paşalar sofrasi,5243952647
restoran,Kozde kebap,5243952733
restoran,Erzurum Cağ Kebap,5243952770
